tanggal,longitude,latitude
44240,103.028770445,0.32395883
44240,103.08892059,0.363538
44240,103.20475769,0.62738609
44240,102.89739227294922,0.6366852521896362
44240,102.60122681,0.73455226
44240,102.602611545,0.73503584
44240,103.13491821,0.85989064
44240,101.50608825683594,1.9447991847991943
44241,100.502832,2.194334
44242,102.98247528076172,-0.5265374779701233
44242,102.98200989,-0.52279478
44242,102.9732132,-0.32966289
44242,103.29079056,-0.07977702
44242,103.10116577148438,0.0337075479328632
44242,103.09317017,0.36538073
44242,101.61858368,0.68663043
44242,102.28797149658205,1.3424856662750244
44242,101.28275299,1.43547606
44242,100.43663788,2.03087187
44243,101.978217,-0.461716
44243,102.86461,-0.403183
44243,102.1323885,-0.394824
44243,102.444122,-0.348831
44243,103.0765555,-0.2292195
44243,103.07772064,-0.2277322
44243,103.10974121,-0.22599685
44243,103.18416214,-0.19021157
44243,102.1685315,-0.127546
44243,103.29049301,-0.07779062
44243,103.2105484,-0.0346142
44243,103.035749,-0.026448
44243,101.75645447,0.28620353
44243,103.15393829345705,0.3664574027061462
44243,103.46810913,0.43444416
44243,101.793521,0.499031
44243,103.33551025,0.51360631
44243,103.25305939,0.57377267
44243,103.25302700000002,0.5742806666666667
44243,103.2546254,0.5747332
44243,103.271145,0.658704
44243,103.108617,0.732294
44243,102.60276794,0.73390931
44243,103.122046,0.833213
44243,103.114178,0.937378
44243,102.153357,1.341449
44243,101.65487671,2.02033639
44244,103.06574249,-0.46795911
44244,102.70115661621094,-0.3314902484416961
44244,103.21060181,-0.03729036
44244,103.58359528,0.05442929
44244,102.39826965332033,0.2583916187286377
44244,103.51452637,0.27536571
44244,103.16084416833336,0.3710083683333334
44244,102.28141784667967,0.5060170292854309
44244,103.33850860666666,0.5114330466666667
44244,102.60112762,0.73664516
44244,101.81587982177734,0.8653155565261841
44244,101.91722106933594,1.2916629314422607
44244,101.67034149,1.7947256966666665
44244,101.6668472290039,1.795633614063263
44244,101.67232132,1.79739922
44245,102.47725677,-0.48755106
44245,103.064338685,-0.46921372
44245,103.06332397,-0.4690437
44245,102.53536987,-0.44122145
44245,102.35926819,-0.41010708
44245,103.11117554,-0.22631581
44245,103.21308136,-0.03749096
44245,103.211193085,-0.036023695
44245,103.32259369,0.02177121
44245,103.58399963,0.05533639
44245,103.58340454,0.05576659
44245,103.39597321,0.08454908
44245,103.39531708,0.08564907
44245,102.575092315,0.13412549
44245,103.45458221,0.25298882
44245,103.45166016,0.2542533
44245,103.03120422,0.32363069
44245,103.160884855,0.371190205
44245,103.502513885,0.41894221
44245,103.333141325,0.50549221
44245,103.33458964,0.5107836933333334
44245,101.60153198,0.53557944
44245,101.9728775,0.64133513
44245,101.30279541,1.73438656
44245,101.30302429,1.73470736
44245,101.66889954,1.79914463
44245,100.946399685,2.261386635
44246,103.062274935,-0.46653119
44246,103.05844497680664,-0.4650684595108032
44246,103.05456543,-0.06376441
44246,103.05290222,-0.05267388
44246,103.21353149,-0.03675465
44246,103.45553588867188,0.1004433259367942
44246,102.98326280381944,0.2929954826831817
44246,103.333896635,0.50809181
44246,103.03034210205078,1.026362955570221
44246,102.15433502,1.34265316
44246,101.67219543,1.79988658
44247,102.76374054,-0.50185001
44247,103.059251785,-0.4674282975
44247,103.06283187866212,-0.4644041061401367
44247,103.166908265,-0.19384178
44247,103.45353444333334,0.1018183533333333
44247,103.45457458496094,0.108061596751213
44247,102.9818205648148,0.2907787529629629
44247,102.98619621,0.2936329038709677
44247,102.98684310913086,0.293673388659954
44247,102.9865214029948,0.2943082650502522
44247,103.00136566,0.30156745
44247,103.26620483,0.56458068
44247,103.09227371,0.952460555
44247,103.032974245,1.024867115
44247,103.03208923339844,1.0274242162704468
44247,101.64608764648438,1.3927291870117189
44247,101.65195211,1.39300577
44247,101.66243744,1.91682386
44248,103.05819447666666,-0.46683093
44248,103.10588646,-0.145336605
44248,102.81040954589844,-0.1311700195074081
44248,103.45436096,0.10367651
44248,102.980559985,0.2929951625
44248,102.98087311,0.2944109733333333
44248,102.97925866130436,0.2963287726086956
44248,102.99871826333332,0.2977249433333333
44248,102.99712372,0.30566116
44248,102.99802093399998,0.31188767
44248,103.00017929,0.31330405
44248,102.99778366,0.3137283125
44248,103.096984865,0.34966989
44248,101.60432434,0.53639567
44248,103.15544891,0.87943184
44248,101.5131239481818,1.2458881036363636
44248,101.51241768666668,1.2480673249999998
44248,101.50839953944444,1.2487167711111111
44248,101.62151336669922,1.3812267184257507
44248,101.66241455078124,1.3874043226242063
44248,101.63948694833334,1.38832402
44248,101.64613596666668,1.3909420966666666
44248,101.64205245933334,1.3914296586666668
44248,101.24131647833332,1.7110605633333331
